상품명,색깔,카테고리,RGB,패턴재질,모양,계절,평균평점,스타일,종합점수
[DAYONE LABEL]렌프 자켓원피스(벨트set),블랙,미니원피스,"0, 0, 0",무지,단추,겨울   ,0,모던시크,0
[DAYONE LABEL]로티 숏팬츠,연청,반바지,"190, 210, 237",무지,포켓,봄 여름  ,0,심플베이직,0
[DAYONE LABEL]슬로 보트넥티,옐로우,티셔츠,"245, 230, 160",무지,보트넥,봄 가을  ,0,청순,0
[DAYONE LABEL]워프 스퀘어롱원피스,피치핑크,롱원피스,"220, 174, 166",데님,크롭,여름   ,0,청순,0
[DAYONE LABEL]케이즈 하이스키니진 (히든밴딩),블루,스키니 ,"85, 100, 113",무지,슬림,겨울   ,0,캐주얼,0
[DAYONE LABEL]케이즈 하이스키니진 (히든밴딩),블루 ,스키니,"52, 64, 93",무지,슬림,겨울   ,0,캐주얼,0
[DAYONE LABEL]클랫 백리본티,베이지,티셔츠,"231, 216, 203",무지,리본,가을   ,0,러블리,0
[DAYONE LABEL]클랫 백리본티,블랙,티셔츠,"0, 0, 0",무지,리본,가을   ,0,러블리,0
[DAYONE LABEL]퍼트 롱다리 슬림 슬랙스,블랙,슬랙스,"0, 0, 0",무지,슬림,봄 가을  ,0,오피스,0
[DAYONE LABEL]플립 쉬폰 플라워원피스(아이보리),아이보리,미니원피스,"254, 255, 239",플라워,쉬폰,여름   ,0,러블리,0
[La belle rose]글로리 트렌치블라우스(벨트set),베이지,블라우스,"217, 205, 173",무지,스퀘어넥,여름   ,0,모던시크,0
[La belle rose]글로리 트렌치블라우스(벨트set),블랙,블라우스,"0, 0, 0",무지,스퀘어넥,여름   ,0,모던시크,0
[La belle rose]더무드 체크 자켓원피스(벨트set),그레이,미니원피스,"169, 169, 169",체크,브이넥,겨울   ,0,페미닌,0
[La belle rose]드웰 테일러드 카라 블라우스,아이보리,블라우스,"254, 255, 239",무지,카라,봄 가을  ,0,청순,0
[La belle rose]드웰 테일러드 카라 블라우스,핑크,블라우스,"255, 191, 202",무지,카라,봄 가을  ,0,청순,0
[La belle rose]디어문 베이직 싱글자켓,뮤트베이지,자켓,"209, 199, 171",골지,단추,봄   ,0,심플베이직,0
[La belle rose]로잘리 플라워 셔링원피스,아이보리,미니원피스,"254, 255, 239",플라워,브이넥,여름   ,0,러블리,-0.45
[La belle rose]로하 롱랩원피스,그레이,롱원피스,"169, 169, 169",무지,브이넥,여름   ,0,청순,0
[La belle rose]루미 홀터넥 롱원피스,민트,롱원피스,"197, 216, 195",플라워,하트넥,여름   ,0,러블리,0
[La belle rose]루시드 스퀘어 셔링블라우스,스카이블루,블라우스,"171, 189, 203",무지,셔링,봄 여름 가을 ,0,청순,0
[La belle rose]멜팅 하트스퀘어넥 블라우스,블랙,블라우스,"0, 0, 0",무지,하트넥,봄 가을  ,0,청순,0
[La belle rose]멜팅 하트스퀘어넥 블라우스,스카이블루,블라우스,"171, 189, 203",무지,하트넥,봄 가을  ,0,청순,0
[La belle rose]멜팅 하트스퀘어넥 블라우스,아이보리,블라우스,"254, 255, 239",무지,하트넥,봄 가을  ,0,청순,0
[La belle rose]블랑 골지꼬임니트,모카,니트/스웨터,"159, 125, 118",골지,꼬임,봄 가을  ,0,청순,0
[La belle rose]블랑 골지꼬임니트,블랙,니트/스웨터,"0, 0, 0",골지,꼬임,봄 가을  ,0,청순,0
[La belle rose]블랑 골지꼬임니트,아이보리,니트/스웨터,"254, 255, 239",골지,꼬임,봄 가을  ,0,청순,0
템퍼 꽈배기 브이니트,아이보리,니트/스웨터,"254, 255, 239",꽈배기,브이넥,겨울   ,5,캐주얼,0
템퍼 꽈배기 브이니트,핑크,니트/스웨터,"255, 191, 202",꽈배기,브이넥,겨울   ,5,캐주얼,0
뉴델리 유넥티,핑크,티셔츠,"255, 191, 202",무지,라운드넥,여름   ,4.947368421,데일리,0
뉴델리 유넥티,핑크,티셔츠,"255, 191, 202",무지,유넥,여름 가을  ,4.947368421,데일리,0
[DAYONE LABEL]쫀쫀 연청 숏데님,베이지,반바지,"225, 217, 191",데님,크롭,여름   ,0,러블리,-0.19
[DAYONE LABEL]쫀쫀 연청 숏데님,연청,반바지,"190, 210, 237",데님,크롭,여름   ,0,러블리,-0.19
[DAYONE LABEL]쫀쫀 연청 숏데님,연청 ,반바지,"190, 210, 237",데님,크롭,여름   ,0,러블리,-0.19
[La belle rose]데이니 여리핏 브이트임티,라벤더,티셔츠,"204, 140, 206",무지,유넥,봄 가을  ,0,러블리,0.31
[La belle rose]데이니 여리핏 브이트임티,블랙,티셔츠,"0, 0, 0",무지,유넥,봄 가을  ,0,러블리,0.31
[La belle rose]데이니 여리핏 브이트임티,소프트베이지,티셔츠,"229, 226, 216",무지,유넥,봄 가을  ,0,러블리,0.31
[La belle rose]데이니 여리핏 브이트임티,아이보리,티셔츠,"254, 255, 239",무지,유넥,봄 가을  ,0,러블리,0.31
[La belle rose]드리밍 슬림핏 배색 골지티,네이비,티셔츠,"0, 0, 129",배색,브이넥,여름   ,0,러블리,-0.4
[La belle rose]드리밍 슬림핏 배색 골지티,옐로우,티셔츠,"245, 230, 160",배색,브이넥,여름   ,0,러블리,-0.4
[La belle rose]드리밍 슬림핏 배색 골지티,핑크,티셔츠,"255, 191, 202",배색,브이넥,여름   ,0,러블리,-0.4
[La belle rose]딘트 체크 스퀘어원피스(+3cm기장추가옵션),레드,미니원피스,"194, 16, 11",체크,스퀘어넥,여름   ,0,러블리,0
[La belle rose]딘트 체크 스퀘어원피스(+3cm기장추가옵션),레드 ,미니원피스,"194, 16, 11",체크,스퀘어넥,여름   ,0,러블리,0
[La belle rose]딘트 체크 스퀘어원피스(+3cm기장추가옵션),브라운,미니원피스,"155, 133, 71",체크,스퀘어넥,여름   ,0,러블리,0
[La belle rose]딜러스 포켓 뷔스티에원피스(+6cm기장추가옵션),블랙,미니원피스,"0, 0, 0",무지,뷔스티에,봄 가을  ,0,러블리,0
[La belle rose]딜러스 포켓 뷔스티에원피스(+6cm기장추가옵션),크림베이지,미니원피스,"239, 231, 209",무지,뷔스티에,봄 가을  ,0,러블리,0
[La belle rose]딜러스 포켓 뷔스티에원피스(+6cm기장추가옵션),크림베이지 ,미니원피스,"239, 231, 209",무지,뷔스티에,봄 가을  ,0,러블리,0
[La belle rose]레이니 찰랑 미니 훌원피스,블랙,미니원피스,"0, 0, 0",골지,브이넥,여름   ,0,러블리,-0.02
[La belle rose]레이니 찰랑 미니 훌원피스,블루,미니원피스,"85, 121, 179",골지,브이넥,여름   ,0,러블리,-0.02
[La belle rose]로코엘 썸머 셔츠원피스,스카이블루,미니원피스,"145, 197, 223",무지,카라,여름   ,0,러블리,-0.04
[La belle rose]로코엘 썸머 셔츠원피스,아이보리,미니원피스,"254, 255, 239",무지,카라,여름   ,0,러블리,-0.04
[La belle rose]론다 플리츠 미니스커트,베이지,미니스커트,"221, 219, 200",무지,플리츠,봄 가을  ,0,러블리,0
[La belle rose]론다 플리츠 미니스커트,블랙,미니스커트,"0, 0, 0",무지,플리츠,봄 가을  ,0,러블리,0
[La belle rose]론다 플리츠 미니스커트,블랙 ,미니스커트,"0, 0, 0",무지,플리츠,봄 가을  ,0,러블리,0
[La belle rose]론드 스퀘어 슬리브리스탑,블랙,민소매/나시,"0, 0, 0",무지,스퀘어넥,여름   ,0,러블리,0
[La belle rose]론드 스퀘어 슬리브리스탑,아이보리,민소매/나시,"254, 255, 239",무지,스퀘어넥,여름   ,0,러블리,0
[La belle rose]루벨 쟈가드 레이스가디건,블랙,가디건,"0, 0, 0",레이스,슬림,여름   ,0,러블리,-0.53
[La belle rose]루벨 쟈가드 레이스가디건,아이보리,가디건,"254, 255, 239",레이스,슬림,여름   ,0,러블리,-0.53
[La belle rose]룩스 쟈가드 랩티셔츠,블랙,티셔츠,"0, 0, 0",무지,랩,여름   ,0,러블리,-0.07
[La belle rose]룩스 쟈가드 랩티셔츠,화이트,티셔츠,"255, 255, 255",무지,랩,여름   ,0,러블리,-0.07
[La belle rose]리놀 스모크 나시,베이지,민소매/나시,"238, 218, 175",헤링본,크롭,여름   ,0,러블리,0
[La belle rose]리놀 스모크 나시,블랙,민소매/나시,"0, 0, 0",헤링본,크롭,여름   ,0,러블리,0
[La belle rose]리놀 스모크 나시,아이보리,민소매/나시,"254, 255, 239",헤링본,크롭,여름   ,0,러블리,0
[La belle rose]리놀 스모크 나시,핑크,민소매/나시,"231, 191, 192",헤링본,크롭,여름   ,0,러블리,0
[La belle rose]머스크 피케이 카라셔츠,딥네이비,셔츠/남방,"5, 5, 95",무지,카라,봄 가을  ,0,러블리,0
[La belle rose]머스크 피케이 카라셔츠,스노우화이트,셔츠/남방,"255, 255, 255",무지,카라,봄 가을  ,0,러블리,0
[La belle rose]머스크 피케이 카라셔츠,파우더블루,셔츠/남방,"173, 218, 254",무지,카라,봄 가을  ,0,러블리,0
[La belle rose]메리유 헨리넥블라우스,블랙,블라우스,"0, 0, 0",무지,라운드넥,겨울   ,0,러블리,0
[La belle rose]메리유 헨리넥블라우스,샌드아이보리,블라우스,"239, 236, 226",무지,라운드넥,겨울   ,0,러블리,0
[La belle rose]멜로 썸머 스모크블라우스,아이보리,블라우스,"254, 255, 239",플라워,스퀘어넥,여름   ,0,러블리,-0.02
[La belle rose]베네 펀칭 플레어원피스(+4cm기장추가옵션),화이트,미니원피스,"255, 255, 255",펀칭,브이넥,여름   ,0,러블리,0
[La belle rose]비에 러블리 프릴나시,블랙,민소매/나시,"0, 0, 0",무지,프릴,여름   ,0,러블리,-0.09
[La belle rose]비에 러블리 프릴나시,크림,민소매/나시,"247, 234, 198",무지,프릴,여름   ,0,러블리,-0.09
[La belle rose]비커밍 리본 골지꼬임티,그레이,티셔츠,"169, 169, 169",골지,꼬임,겨울   ,0,러블리,0
[La belle rose]비커밍 리본 골지꼬임티,베이지,티셔츠,"231, 216, 203",골지,꼬임,겨울   ,0,러블리,0
[La belle rose]비커밍 리본 골지꼬임티,블랙,티셔츠,"0, 0, 0",골지,꼬임,겨울   ,0,러블리,0
[La belle rose]비커밍 리본 골지꼬임티,아이보리,티셔츠,"254, 255, 239",골지,꼬임,겨울   ,0,러블리,0
[La belle rose]비커밍 리본 골지꼬임티,퍼플,티셔츠,"206, 192, 212",골지,꼬임,겨울   ,0,러블리,0
[La belle rose]슈나 브이 프릴가디건,블랙,가디건,"0, 0, 0",무지,프릴,봄 여름  ,0,러블리,0
[La belle rose]슈나 브이 프릴가디건,스카이블루,가디건,"168, 202, 229",무지,프릴,봄 여름  ,0,러블리,0
[La belle rose]슈나 브이 프릴가디건,크림,가디건,"230, 227, 215",무지,프릴,봄 여름  ,0,러블리,0
[La belle rose]씨에 슬림핏 반팔셔츠,라이트핑크,셔츠/남방,"255, 191, 202",무지,크롭,여름   ,0,러블리,0
[La belle rose]씨에 슬림핏 반팔셔츠,아이보리,셔츠/남방,"254, 255, 239",무지,크롭,여름   ,0,러블리,0
[La belle rose]씨에 슬림핏 반팔셔츠,아쿠아블루,셔츠/남방,"182, 210, 241",무지,크롭,여름   ,0,러블리,0
